predict_date,class_id,predict_quantity
201711,103507,196
201711,124140,273
201711,125403,168
201711,136916,174
201711,169673,153
201711,175962,252
201711,178529,153
201711,186250,84
201711,194201,409
201711,194450,283
201711,198427,113
201711,206765,2192
201711,209945,106
201711,219195,133
201711,221795,415
201711,245609,133
201711,248352,283
201711,249875,151
201711,250658,188
201711,265980,197
201711,270690,609
201711,281301,331
201711,281792,518
201711,289386,520
201711,289403,291
201711,290854,220
201711,291086,341
201711,291514,52
201711,302513,187
201711,304458,386
201711,308913,165
201711,321683,2377
201711,340175,113
201711,347384,3066
201711,348641,361
201711,349023,982
201711,350259,604
201711,354068,471
201711,356986,485
201711,359378,73
201711,360648,168
201711,376193,89
201711,378356,444
201711,378536,111
201711,379265,339
201711,379876,143
201711,384924,801
201711,392593,209
201711,395234,110
201711,401052,140
201711,409854,1765
201711,412240,72
201711,416749,208
201711,417803,134
201711,425432,2040
201711,436105,454
201711,437063,111
201711,437598,74
201711,453752,196
201711,468392,150
201711,472603,86
201711,475895,109
201711,481950,161
201711,482497,174
201711,492952,155
201711,496459,392
201711,501564,150
201711,510309,96
201711,516750,58
201711,526401,403
201711,527765,78
201711,527809,185
201711,540712,355
201711,559132,109
201711,560265,82
201711,569154,375
201711,576298,188
201711,580470,418
201711,580634,253
201711,587678,170
201711,591790,199
201711,597927,148
201711,603972,436
201711,612523,120
201711,614059,343
201711,619401,408
201711,621073,1099
201711,628041,780
201711,649213,111
201711,651347,248
201711,651782,80
201711,653436,182
201711,654134,548
201711,671482,106
201711,682651,279
201711,683364,93
201711,687270,429
201711,692703,576
201711,693436,154
201711,713651,198
201711,714150,193
201711,714152,437
201711,714860,142
201711,725137,94
201711,732758,163
201711,735971,2031
201711,736094,241
201711,739296,864
201711,741152,595
201711,743957,702
201711,745137,925
201711,750340,109
201711,760412,78
201711,786351,110
201711,789290,87
201711,810398,131
201711,815230,172
201711,819061,107
201711,842246,120
201711,851857,161
201711,854079,159
201711,854548,131
201711,861459,266
201711,871642,164
201711,872180,129
201711,883691,261
201711,890189,1347
201711,905061,404
201711,905745,203
201711,914348,491
201711,923841,658
201711,924154,1271
201711,948936,82
201711,950264,1318
201711,953842,1138
201711,961362,78
201711,961962,85
201711,963845,211
201711,973106,109
201711,978089,451
