predict_date,class_id,predict_quantity
201711,103507,189
201711,124140,289
201711,125403,331
201711,136916,151
201711,169673,220
201711,175962,218
201711,178529,167
201711,186250,84
201711,194201,240
201711,194450,312
201711,198427,126
201711,206765,2423
201711,209945,282
201711,219195,162
201711,221795,341
201711,245609,101
201711,248352,273
201711,249875,150
201711,250658,290
201711,265980,465
201711,270690,814
201711,281301,599
201711,281792,370
201711,289386,313
201711,289403,301
201711,290854,399
201711,291086,379
201711,291514,95
201711,302513,109
201711,304458,619
201711,308913,134
201711,321683,2100
201711,340175,245
201711,347384,2636
201711,348641,410
201711,349023,951
201711,350259,657
201711,354068,936
201711,356986,629
201711,359378,16
201711,360648,150
201711,376193,133
201711,378356,427
201711,378536,105
201711,379265,273
201711,379876,142
201711,384924,714
201711,392593,240
201711,395234,83
201711,401052,206
201711,409854,1993
201711,412240,89
201711,416749,317
201711,417803,62
201711,425432,1562
201711,436105,465
201711,437063,258
201711,437598,146
201711,453752,386
201711,468392,245
201711,472603,146
201711,475895,76
201711,481950,152
201711,482497,339
201711,492952,264
201711,496459,482
201711,501564,253
201711,510309,173
201711,516750,33
201711,526401,406
201711,527765,37
201711,527809,309
201711,540712,394
201711,559132,225
201711,560265,94
201711,569154,387
201711,576298,303
201711,580470,466
201711,580634,298
201711,587678,366
201711,591790,366
201711,597927,257
201711,603972,518
201711,612523,199
201711,614059,544
201711,619401,356
201711,621073,1153
201711,628041,723
201711,649213,126
201711,651347,136
201711,651782,135
201711,653436,122
201711,654134,657
201711,671482,63
201711,682651,455
201711,683364,63
201711,687270,461
201711,692703,584
201711,693436,251
201711,713651,381
201711,714150,253
201711,714152,729
201711,714860,220
201711,725137,134
201711,732758,326
201711,735971,3045
201711,736094,253
201711,739296,852
201711,741152,673
201711,743957,636
201711,745137,920
201711,750340,38
201711,760412,79
201711,786351,92
201711,789290,70
201711,810398,49
201711,815230,200
201711,819061,187
201711,842246,206
201711,851857,256
201711,854079,354
201711,854548,108
201711,861459,231
201711,871642,177
201711,872180,163
201711,883691,281
201711,890189,1382
201711,905061,137
201711,905745,175
201711,914348,668
201711,923841,720
201711,924154,1019
201711,948936,41
201711,950264,884
201711,953842,761
201711,961362,105
201711,961962,122
201711,963845,245
201711,973106,237
201711,978089,405
