predict_date,class_id,predict_quantity
201711,103507,134
201711,124140,299
201711,125403,189
201711,136916,199
201711,169673,173
201711,175962,260
201711,178529,156
201711,186250,92
201711,194201,368
201711,194450,321
201711,198427,110
201711,206765,2134
201711,209945,113
201711,219195,133
201711,221795,475
201711,245609,185
201711,248352,664
201711,249875,165
201711,250658,213
201711,265980,128
201711,270690,685
201711,281301,541
201711,281792,584
201711,289386,516
201711,289403,308
201711,290854,234
201711,291086,299
201711,291514,49
201711,302513,185
201711,304458,606
201711,308913,162
201711,321683,2178
201711,340175,133
201711,347384,3846
201711,348641,384
201711,349023,1170
201711,350259,628
201711,354068,772
201711,356986,467
201711,359378,75
201711,360648,157
201711,376193,90
201711,378356,447
201711,378536,114
201711,379265,340
201711,379876,152
201711,384924,797
201711,392593,194
201711,395234,116
201711,401052,147
201711,409854,2168
201711,412240,76
201711,416749,239
201711,417803,110
201711,425432,2028
201711,436105,523
201711,437063,101
201711,437598,75
201711,453752,203
201711,468392,146
201711,472603,88
201711,475895,114
201711,481950,167
201711,482497,164
201711,492952,167
201711,496459,411
201711,501564,162
201711,510309,93
201711,516750,59
201711,526401,352
201711,527765,81
201711,527809,176
201711,540712,363
201711,559132,110
201711,560265,75
201711,569154,379
201711,576298,220
201711,580470,436
201711,580634,279
201711,587678,201
201711,591790,193
201711,597927,169
201711,603972,473
201711,612523,134
201711,614059,348
201711,619401,441
201711,621073,1194
201711,628041,797
201711,649213,125
201711,651347,254
201711,651782,83
201711,653436,191
201711,654134,743
201711,671482,87
201711,682651,315
201711,683364,94
201711,687270,459
201711,692703,589
201711,693436,158
201711,713651,198
201711,714150,214
201711,714152,548
201711,714860,148
201711,725137,100
201711,732758,205
201711,735971,2218
201711,736094,270
201711,739296,696
201711,741152,594
201711,743957,716
201711,745137,876
201711,750340,96
201711,760412,72
201711,786351,113
201711,789290,87
201711,810398,139
201711,815230,179
201711,819061,102
201711,842246,122
201711,851857,176
201711,854079,139
201711,854548,115
201711,861459,259
201711,871642,167
201711,872180,141
201711,883691,264
201711,890189,1706
201711,905061,413
201711,905745,191
201711,914348,809
201711,923841,699
201711,924154,1374
201711,948936,92
201711,950264,1128
201711,953842,1192
201711,961362,79
201711,961962,112
201711,963845,222
201711,973106,113
201711,978089,462
