predict_date,class_id,predict_quantity
201711,103507,191
201711,124140,279
201711,125403,173
201711,136916,176
201711,169673,158
201711,175962,251
201711,178529,153
201711,186250,84
201711,194201,422
201711,194450,288
201711,198427,113
201711,206765,2189
201711,209945,111
201711,219195,134
201711,221795,429
201711,245609,136
201711,248352,286
201711,249875,154
201711,250658,194
201711,265980,199
201711,270690,628
201711,281301,336
201711,281792,545
201711,289386,512
201711,289403,305
201711,290854,231
201711,291086,355
201711,291514,54
201711,302513,192
201711,304458,392
201711,308913,172
201711,321683,2473
201711,340175,117
201711,347384,3093
201711,348641,361
201711,349023,980
201711,350259,612
201711,354068,472
201711,356986,494
201711,359378,77
201711,360648,170
201711,376193,90
201711,378356,449
201711,378536,113
201711,379265,347
201711,379876,145
201711,384924,811
201711,392593,216
201711,395234,113
201711,401052,144
201711,409854,1816
201711,412240,76
201711,416749,208
201711,417803,142
201711,425432,2075
201711,436105,473
201711,437063,115
201711,437598,75
201711,453752,197
201711,468392,150
201711,472603,87
201711,475895,111
201711,481950,165
201711,482497,178
201711,492952,153
201711,496459,397
201711,501564,153
201711,510309,99
201711,516750,59
201711,526401,407
201711,527765,82
201711,527809,195
201711,540712,377
201711,559132,109
201711,560265,83
201711,569154,387
201711,576298,196
201711,580470,423
201711,580634,257
201711,587678,171
201711,591790,208
201711,597927,146
201711,603972,449
201711,612523,125
201711,614059,357
201711,619401,415
201711,621073,1098
201711,628041,804
201711,649213,114
201711,651347,257
201711,651782,81
201711,653436,188
201711,654134,556
201711,671482,112
201711,682651,284
201711,683364,94
201711,687270,446
201711,692703,583
201711,693436,155
201711,713651,207
201711,714150,203
201711,714152,451
201711,714860,141
201711,725137,97
201711,732758,171
201711,735971,2058
201711,736094,249
201711,739296,878
201711,741152,602
201711,743957,706
201711,745137,923
201711,750340,112
201711,760412,84
201711,786351,112
201711,789290,91
201711,810398,136
201711,815230,179
201711,819061,97
201711,842246,123
201711,851857,160
201711,854079,161
201711,854548,138
201711,861459,273
201711,871642,163
201711,872180,134
201711,883691,262
201711,890189,1395
201711,905061,424
201711,905745,208
201711,914348,518
201711,923841,671
201711,924154,1268
201711,948936,83
201711,950264,1325
201711,953842,1183
201711,961362,82
201711,961962,87
201711,963845,213
201711,973106,111
201711,978089,469
